fpr,tpr
0.0,0.0
0.0,0.02040816326530612
0.0,0.04081632653061224
0.02702702702702703,0.04081632653061224
0.02702702702702703,0.061224489795918366
0.08108108108108109,0.061224489795918366
0.08108108108108109,0.20408163265306123
0.10810810810810811,0.20408163265306123
0.10810810810810811,0.24489795918367346
0.13513513513513514,0.24489795918367346
0.13513513513513514,0.4489795918367347
0.16216216216216217,0.4489795918367347
0.16216216216216217,0.5306122448979592
0.16216216216216217,0.5714285714285714
0.1891891891891892,0.5714285714285714
0.1891891891891892,0.5918367346938775
0.24324324324324326,0.5918367346938775
0.24324324324324326,0.6530612244897959
0.2702702702702703,0.6530612244897959
0.2702702702702703,0.6938775510204082
0.2972972972972973,0.6938775510204082
0.2972972972972973,0.7346938775510204
0.2972972972972973,0.7551020408163265
0.32432432432432434,0.7551020408163265
0.32432432432432434,0.7755102040816326
0.3783783783783784,0.7755102040816326
0.3783783783783784,0.8163265306122449
0.43243243243243246,0.8163265306122449
0.43243243243243246,0.8367346938775511
0.4594594594594595,0.8367346938775511
0.4594594594594595,0.8571428571428571
0.6216216216216216,0.8571428571428571
0.6216216216216216,0.8775510204081632
0.6486486486486487,0.8775510204081632
0.6486486486486487,0.8979591836734694
0.7027027027027027,0.8979591836734694
0.7297297297297297,0.8979591836734694
0.7297297297297297,0.9183673469387755
0.8648648648648649,0.9183673469387755
0.8648648648648649,0.9591836734693877
0.972972972972973,0.9591836734693877
0.972972972972973,1.0
1.0,1.0
